,Tweets,id,len,date,source,likes,retweets
0,@austinnotduncan @SuperSaf via Twitter for Mars,1418700878442283016,47,2021-07-23 22:33:42,Twitter for Android,2284,20
1,"RT @MKBHD: Tesla Model S PLAID Impressions: Re-Inventing the Wheel!

https://t.co/rS3LP0boSZ https://t.co/e9yGP8uSlc",1418590541844000769,116,2021-07-23 15:15:15,Twitter Web App,0,1225
2,@AdamLukas17 @AndyManganelli Easily our greatest outro,1418572172176596998,54,2021-07-23 14:02:16,Tweetbot for Mac,52,1
3,"@JantieWillie @slye No, I tried this. This only works because covering the right side of the yoke with your hand fo… https://t.co/4cyZcvQiQ2",1418560263750553605,140,2021-07-23 13:14:57,Tweetbot for Mac,21,1
4,"@slye Somebody make a good carbon fiber one, I'd buy it today",1418559574664171520,61,2021-07-23 13:12:12,Twitter for Android,67,2
5,@gnar_luhd @DougDeMuro Agreed,1418532556107042819,29,2021-07-23 11:24:51,Flamingo for Android,532,0
6,@elonmusk Thanks - looking forward to this continued evolution. It's a weird conflict but I feel like Teslas are so… https://t.co/Krpt8MTNBr,1418531443978952707,140,2021-07-23 11:20:25,Flamingo for Android,8661,91
7,@Djpoool That's clean!,1418388012912812036,22,2021-07-23 01:50:29,Flamingo for Android,17,0
8,"Tesla Model S PLAID Impressions: Re-Inventing the Wheel!

https://t.co/rS3LP0boSZ https://t.co/e9yGP8uSlc",1418374215829491712,105,2021-07-23 00:55:39,Tweetbot for Mac,33073,1225
9,Uploading…,1418371452252872705,10,2021-07-23 00:44:40,Tweetbot for Mac,7285,95
10,"FTC Votes Unanimously to Enforce Right To Repair 🙏🏾

https://t.co/RLIhgI8EBj https://t.co/gp2bXZD6P6",1418185713074458627,100,2021-07-22 12:26:37,Twitter for Android,21965,1747
11,@Jon4Lakers Most owners probably won't. I'll try again tomorrow but it feels like another clunky workaround. A norm… https://t.co/8kzs4vOFva,1418044769163485185,140,2021-07-22 03:06:33,Twitter for Android,181,1
12,@Jon4Lakers I haven't gotten this to work yet?,1418043777567109122,46,2021-07-22 03:02:37,Twitter for Android,108,3
13,@NBTJacklyn Maybe I'm jaded but it seems like a good IDEA for a car but I find it hard to believe they're already t… https://t.co/bFlvziZEs3,1418043542740537349,140,2021-07-22 03:01:41,Twitter for Android,123,1
14,Remember the Bixby speaker?,1417886369096085511,27,2021-07-21 16:37:08,Tweetbot for Mac,17177,227
15,RT @kobebryant: My man....M.V.P. Greatness. 🙌🏾💪🏾 Next up: Championship. #MambaMentality https://t.co/dhZTFI1Aam,1417691829709983746,111,2021-07-21 03:44:06,Flamingo for Android,0,96195
16,"GG Bucks. Congrats Giannis and the squad on the ring. Also happy for PJ Tucker, been underrated forever. CP3, you're still a legend!",1417690408059015168,132,2021-07-21 03:38:27,Flamingo for Android,12219,556
17,Giannis Antetokounmpo. Lank goals.,1417685034274861058,34,2021-07-21 03:17:06,Flamingo for Android,6226,195
18,Invites for the next Samsung Unpacked are officially going out… so yeah I’m gonna go ahead and say we're gonna be s… https://t.co/cEEFNtX83L,1417635739504885760,140,2021-07-21 00:01:13,Tweetbot for iΟS,12463,492
19,@iStubbz Only for the number on paper,1417195014917132292,37,2021-07-19 18:49:56,Tweetbot for Mac,408,1
